seed,arm,lambda_1,cfhm_taus,b3_taus,cfhm_mean_tau,b3_mean_tau,cfhm_gate,b3_gate
1005,A1,0.01,"[-0.053266331658291456, -0.006231155778894472, 0.0, 0.019999999999999997, 0.08050251256281407, 0.01678391959798995, -0.0013065326633165827, 0.020402010050251256, 0.008040201005025125, 0.12492462311557789]","[0.26060301507537686, 0.21879396984924623, 0.24864321608040196, 0.23688442211055274, 0.2596984924623115, 0.27547738693467333, 0.27055276381909543, 0.2516582914572864, 0.24964824120603016, 0.3147738693467336]",0.0209849246231155,0.2586733668341708,False,False
1005,A2,0.01,"[0.06311557788944723, -0.003115577889447236, 0.02522613065326633, -0.1392964824120603, 0.047537688442211054, 0.07055276381909546, 0.02201005025125628, 0.014271356783919597, -0.08793969849246232, 0.07226130653266331]","[0.2349748743718593, 0.041608040201005024, 0.19206030150753767, 0.2578894472361809, 0.13768844221105528, 0.08944723618090451, 0.15557788944723616, 0.1371859296482412, 0.09497487437185928, 0.11266331658291456]",0.0084623115577889,0.1454070351758793,False,False
1006,A1,0.01,"[-0.02452261306532663, -0.06050251256281407, 0.05507537688442211, 0.01608040201005025, 0.10271356783919597, 0.11547738693467334, -0.0678391959798995, 0.021407035175879396, 0.007035175879396984, 0.022412060301507535]","[0.08522613065326633, 0.12231155778894472, 0.22331658291457285, 0.06824120603015076, 0.13105527638190953, 0.1164824120603015, 0.09899497487437185, 0.11748743718592965, 0.12241206030150753, 0.1258291457286432]",0.0187336683417085,0.1211356783919597,False,False
1006,A2,0.01,"[-0.05276381909547738, -0.07407035175879396, -0.04914572864321608, 0.051155778894472356, 0.05035175879396985, -0.03346733668341708, -0.004221105527638191, 0.060201005025125626, 0.08713567839195979, 0.05798994974874372]","[0.07587939698492462, 0.03195979899497488, 0.05587939698492462, 0.08331658291457286, 0.0992964824120603, 0.17979899497487437, 0.040100502512562815, 0.023216080402010047, 0.04542713567839196, 0.10552763819095476]",0.0093165829145728,0.0740402010050251,False,False
1007,A1,0.01,"[0.21135678391959797, 0.29115577889447236, 0.34954773869346734, 0.30542713567839197, 0.24010050251256282, 0.2969849246231156, 0.2402010050251256, 0.28432160804020096, 0.31437185929648237, 0.22532663316582913]","[0.17396984924623113, 0.12532663316582915, 0.1407035175879397, 0.18231155778894473, 0.3108542713567839, 0.2991959798994975, 0.21256281407035174, 0.20824120603015073, 0.2991959798994975, 0.18090452261306533]",0.2758793969849246,0.2133266331658291,False,False
1007,A2,0.01,"[0.29286432160804016, 0.250251256281407, 0.23899497487437185, 0.24894472361809045, 0.22984924623115577, 0.20603015075376882, 0.2795979899497487, 0.2250251256281407, 0.30683417085427134, 0.2591959798994975]","[0.019899497487437183, 0.09678391959798995, 0.029045226130653266, 0.03628140703517588, 0.040603015075376885, 0.06452261306532663, 0.08261306532663316, 0.09688442211055276, 0.09326633165829146, -0.008341708542713568]",0.2537587939698492,0.0551557788944723,False,False
1008,A1,0.01,"[0.05638190954773869, 0.006231155778894472, -0.019396984924623113, -0.015477386934673366, 0.029748743718592964, -0.024321608040201004, 0.05798994974874372, -0.01587939698492462, 0.025829145728643213, -0.00693467336683417]","[0.11537688442211055, 0.06884422110552764, 0.03939698492462312, 0.06341708542713567, 0.034673366834170855, 0.04221105527638191, 0.05949748743718593, 0.029346733668341708, 0.06824120603015076, 0.13195979899497487]",0.0094170854271356,0.0652964824120602,False,False
1008,A2,0.01,"[-0.023618090452261306, -0.03638190954773869, 0.036984924623115575, 0.07457286432160803, 0.06150753768844221, -0.021608040201005024, -0.001608040201005025, -0.001507537688442211, -0.09125628140703516, -0.008341708542713568]","[0.09256281407035176, 0.06733668341708542, 0.12432160804020098, 0.09778894472361808, 0.0864321608040201, 0.1287437185929648, 0.03366834170854271, 0.025427135678391957, 0.17185929648241205, 0.07929648241206029]",-0.0011256281407035,0.0907437185929648,False,False
1009,A1,0.01,"[-0.02864321608040201, -0.019396984924623113, 0.004824120603015075, -0.00693467336683417, 0.03939698492462312, -0.026834170854271353, 0.05467336683417085, 0.0578894472361809, 0.039296482412060296, 0.044723618090452257]","[-0.10693467336683415, -0.03095477386934673, 0.04371859296482412, -0.025125628140703515, -0.03236180904522613, 0.07296482412060301, -0.002814070351758794, 0.004422110552763819, 0.11517587939698493, -0.03296482412060301]",0.0158994974874371,0.0005125628140703,False,False
1009,A2,0.01,"[-0.050653266331658287, -0.06824120603015076, -0.05597989949748743, -0.011256281407035176, 0.03376884422110553, -0.03758793969849246, 0.05266331658291457, 0.0850251256281407, -0.061105527638190944, -0.0192964824120603]","[0.08874371859296482, -0.044924623115577884, -0.0010050251256281406, 0.030552763819095472, 0.009447236180904523, -0.05929648241206029, 0.03095477386934673, -0.07547738693467336, 0.06442211055276381, 0.022512562814070353]",-0.0132663316582914,0.0065929648241206,False,False
