arm,auroc,calibration_path,lambda_1,method,precision_at_10,precision_at_25,seed,selected_gamma,selected_kappa,status,train_rate
A2,0.4784913965586234,gamma-bisection,0.01,B1_in_degree,0.2,0.4,1019,-4.322265625,1.0,ELIGIBLE,0.04
A2,0.5102040816326531,gamma-bisection,0.01,B2_age_x_popularity,0.3,0.48,1019,-4.322265625,1.0,ELIGIBLE,0.04
A2,0.6967787114845938,gamma-bisection,0.01,B3_fragility_only,0.7,0.8,1019,-4.322265625,1.0,ELIGIBLE,0.04
A2,0.6081432573029211,gamma-bisection,0.01,B4_CFHM,0.6,0.6,1019,-4.322265625,1.0,ELIGIBLE,0.04
A1,0.6069239272434932,gamma-bisection,0.01,B1_in_degree,0.7,0.8,1020,-4.08642578125,1.0,ELIGIBLE,0.03995192307692308
A1,0.6570193950356747,gamma-bisection,0.01,B2_age_x_popularity,0.6,0.68,1020,-4.08642578125,1.0,ELIGIBLE,0.03995192307692308
A1,0.8303688071550599,gamma-bisection,0.01,B3_fragility_only,0.9,0.88,1020,-4.08642578125,1.0,ELIGIBLE,0.03995192307692308
A1,0.5197467591196865,gamma-bisection,0.01,B4_CFHM,0.4,0.48,1020,-4.08642578125,1.0,ELIGIBLE,0.03995192307692308
A2,0.5646320477781152,gamma-bisection,0.01,B1_in_degree,0.7,0.56,1020,-4.1650390625,1.0,ELIGIBLE,0.04
A2,0.5793096467253771,gamma-bisection,0.01,B2_age_x_popularity,0.6,0.76,1020,-4.1650390625,1.0,ELIGIBLE,0.04
A2,0.8118230590140701,gamma-bisection,0.01,B3_fragility_only,1.0,0.96,1020,-4.1650390625,1.0,ELIGIBLE,0.04
A2,0.5172588318655734,gamma-bisection,0.01,B4_CFHM,0.5,0.2,1020,-4.1650390625,1.0,ELIGIBLE,0.04
A1,0.6104058159722222,gamma-bisection,0.01,B1_in_degree,0.9,0.8,1021,-3.828369140625,1.0,ELIGIBLE,0.040096153846153844
A1,0.6219618055555556,gamma-bisection,0.01,B2_age_x_popularity,0.8,0.8,1021,-3.828369140625,1.0,ELIGIBLE,0.040096153846153844
A1,0.7724609375,gamma-bisection,0.01,B3_fragility_only,0.9,0.88,1021,-3.828369140625,1.0,ELIGIBLE,0.040096153846153844
A1,0.4165581597222222,gamma-bisection,0.01,B4_CFHM,0.6,0.56,1021,-3.828369140625,1.0,ELIGIBLE,0.040096153846153844
A2,0.6111530579225543,gamma-bisection,0.01,B1_in_degree,0.7,0.8,1021,-3.828369140625,1.0,ELIGIBLE,0.04
A2,0.552799050803581,gamma-bisection,0.01,B2_age_x_popularity,0.8,0.64,1021,-3.828369140625,1.0,ELIGIBLE,0.04
A2,0.7303419264372776,gamma-bisection,0.01,B3_fragility_only,1.0,0.88,1021,-3.828369140625,1.0,ELIGIBLE,0.04
A2,0.5372667457663683,gamma-bisection,0.01,B4_CFHM,0.9,0.64,1021,-3.828369140625,1.0,ELIGIBLE,0.04
A1,0.7353000000000002,gamma-bisection,0.01,B1_in_degree,0.8,0.84,1022,-3.98046875,1.0,ELIGIBLE,0.04
A1,0.5146999999999999,gamma-bisection,0.01,B2_age_x_popularity,0.4,0.56,1022,-3.98046875,1.0,ELIGIBLE,0.04
A1,0.7922,gamma-bisection,0.01,B3_fragility_only,1.0,0.88,1022,-3.98046875,1.0,ELIGIBLE,0.04
A1,0.7037,gamma-bisection,0.01,B4_CFHM,0.8,0.76,1022,-3.98046875,1.0,ELIGIBLE,0.04
A2,0.7362183612183613,gamma-bisection,0.01,B1_in_degree,0.9,0.84,1022,-3.994140625,1.0,ELIGIBLE,0.03995192307692308
