seed,arm,variant,p_at_25,S_major,S_minor,S_advisory,spearman_rho
1038,A2,V-REFIT,0.8,0.016291975659880255,0.01629204975062603,0.016292189359965376,-0.7666666666666667
1038,A2,V-A0,0.76,,,,
1038,A2,V-ORAC,1.0,0.01683114487600479,0.01739043718969755,0.01682889639259475,0.05270462766947299
1038,A2,V-B3R,1.0,,,,
1039,A1,V-REFIT,0.72,0.016286642043994395,0.016286572740790338,0.016286671025672193,-0.7666666666666667
1039,A1,V-A0,0.76,,,,
1039,A1,V-ORAC,0.96,0.01739017239233869,0.017384382750724757,0.01738989741361225,0.21081851067789195
1039,A1,V-B3R,0.96,,,,
1039,A2,V-REFIT,0.56,0.016286583266638295,0.016286657261172868,0.016286593495906082,-0.7999999999999999
1039,A2,V-A0,0.56,,,,
1039,A2,V-ORAC,0.92,0.0173905281054301,0.017948201023618392,0.017390884560960877,-0.05270462766947299
1039,A2,V-B3R,0.84,,,,
1040,A1,V-REFIT,0.92,0.016282479299721306,0.01628200934508281,0.01628144519495729,0.4666666666666666
1040,A1,V-A0,0.92,,,,
1040,A1,V-ORAC,1.0,0.01739041284334201,0.017389191721253066,0.017385360262964104,0.10540925533894598
1040,A1,V-B3R,1.0,,,,
1040,A2,V-REFIT,0.76,0.016282441230290493,0.0162822403551372,0.016282138627161477,-0.09999999999999999
1040,A2,V-A0,0.76,,,,
1040,A2,V-ORAC,0.88,0.017390578117127492,0.017948924166238577,0.017390612079289894,0.10540925533894598
1040,A2,V-B3R,0.88,,,,
1041,A1,V-REFIT,0.68,0.016281661875301428,0.01628122893506114,0.016280597064996224,0.3
1041,A1,V-A0,0.68,,,,
1041,A1,V-ORAC,0.96,0.017922449039027115,0.017949599131781138,0.01738467016350581,0.21081851067789195
1041,A1,V-B3R,0.92,,,,
1041,A2,V-REFIT,0.6,0.016281762783656624,0.016281703982648225,0.016281050899675048,0.08333333333333334
1041,A2,V-A0,0.64,,,,
1041,A2,V-ORAC,0.8,0.017391074539022642,0.017950533111408,0.01794134041155063,-0.05270462766947299
1041,A2,V-B3R,0.84,,,,
1042,A1,V-REFIT,0.28,0.016285047146618548,0.01628493611396034,0.016284656668230615,-0.2833333333333333
1042,A1,V-A0,0.32,,,,
1042,A1,V-ORAC,0.92,0.01739033413323405,0.01794114074037207,0.017390178110970902,0.10540925533894598
1042,A1,V-B3R,0.96,,,,
1042,A2,V-REFIT,0.4,0.016284694051145628,0.016284840170804303,0.016285004103855426,-0.7166666666666667
1042,A2,V-A0,0.36,,,,
1042,A2,V-ORAC,0.96,0.01683088213078178,0.017390007380681246,0.016830473177386982,0.05270462766947299
1042,A2,V-B3R,0.92,,,,
1043,A1,V-REFIT,0.68,0.016288265856303843,0.0162884591316583,0.016287676727894943,-0.03333333333333333
1043,A1,V-A0,0.68,,,,
1043,A1,V-ORAC,0.92,0.017390603513125782,0.01794928368570356,0.0173897163857595,0.21081851067789195
1043,A1,V-B3R,1.0,,,,
1043,A2,V-REFIT,0.76,0.016287736343774135,0.016288558442257982,0.016288013958993302,-0.45
1043,A2,V-A0,0.76,,,,
1043,A2,V-ORAC,0.92,0.01738229326178803,0.01739033884945568,0.017356756832044393,0.15811388300841894
1043,A2,V-B3R,0.92,,,,
1044,A1,V-REFIT,0.52,0.016290336692770295,0.01628951505161108,0.016290443848707415,-0.33333333333333337
1044,A1,V-A0,0.52,,,,
1044,A1,V-ORAC,1.0,0.017390351314740413,0.017384132196903043,0.017388399355427752,0.10540925533894598
1044,A1,V-B3R,0.96,,,,
1044,A2,V-REFIT,0.48,0.016289944960588207,0.01628967778785307,0.01629019257084654,-0.6333333333333333
1044,A2,V-A0,0.52,,,,
1044,A2,V-ORAC,0.92,0.017372440925710973,0.01739057565408642,0.017390843754382934,-0.10540925533894598
1044,A2,V-B3R,0.88,,,,
1045,A1,V-REFIT,0.64,0.016283178069730564,0.016282643541236666,0.016282312504132878,-0.03333333333333333
1045,A1,V-A0,0.56,,,,
1045,A1,V-ORAC,0.8,0.017390239370333627,0.017948610832380855,0.017389973612831754,0.10540925533894598
1045,A1,V-B3R,0.88,,,,
1045,A2,V-REFIT,0.64,0.01628340443274895,0.016283200574899112,0.016282772175173866,-0.26666666666666666
1045,A2,V-A0,0.64,,,,
1045,A2,V-ORAC,0.96,0.01738738006060555,0.017389317009304614,0.017389688265728277,-0.05270462766947299
1045,A2,V-B3R,0.84,,,,
1046,A1,V-REFIT,0.44,0.016288920287222834,0.016289363802631244,0.016289554196044127,-0.9333333333333332
1046,A1,V-A0,0.4,,,,
1046,A1,V-ORAC,0.96,0.017390505915862997,0.017949222659053472,0.01739020275022864,0.21081851067789195
1046,A1,V-B3R,0.96,,,,
1046,A2,V-REFIT,0.56,0.016289287432318483,0.016289716880857716,0.01628995746058509,-0.8666666666666667
1046,A2,V-A0,0.48,,,,
1046,A2,V-ORAC,0.92,0.017389907409158287,0.017389866014171595,0.017390727099423364,-0.05270462766947299
1046,A2,V-B3R,0.96,,,,
1047,A1,V-REFIT,0.76,0.01628823112956969,0.01628864233109022,0.01628858077645056,-0.75
1047,A1,V-A0,0.72,,,,
1047,A1,V-ORAC,1.0,0.017390174327222174,0.01794907460767361,0.017389473110909447,0.15811388300841894
1047,A1,V-B3R,1.0,,,,
1047,A2,V-REFIT,0.8,0.016288055720267227,0.016288516430965943,0.01628806375545533,-0.4666666666666666
